candidate_id,candidate_name,candidate_type,region_code,region_name,latitude,longitude,covered_grid_ids
candidate_01550f309e48c821,김봉리경로당,마을회관및경로당,48890310,봉산면,35.6271453,128.0428254,"[""라마49a36b""]"
candidate_01a8ee2f49dde830,옥산할머니경로당,경로당,48890250,합천읍,35.5695358,128.1625169,"[""라마60a30b""]"
candidate_01d64eb66e70b114,해곡경로당,마을회관및경로당,48890460,용주면,35.533683,128.1231196,"[""라마56a26b""]"
candidate_020552633b5586d7,각곡경로당,마을회관및경로당,48890360,초계면,35.5472234,128.2400622,"[""라마67a28a""]"
candidate_023ece0e3bffa4b7,하매 경로당,마을회관및경로당,48890330,가야면,35.7290003,128.1158935,"[""라마55b48a""]"
candidate_0252f4988eeea580,내사경로당,마을회관및경로당,48890440,가회면,35.4380496,128.0838634,[]
candidate_038572acb8c0b397,이천 경로당,마을회관및경로당,48890330,가야면,35.7319008,128.1380837,"[""라마57b48b""]"
candidate_03cfa46e74c48ef7,노양2구경로당,마을회관및경로당,48890350,율곡면,35.623122,128.1932712,"[""라마62b36b""]"
candidate_040ddbc01ac05a57,제촌경로당,마을회관및경로당,48890370,쌍책면,35.5702424,128.2787881,"[""라마70b30b""]"
candidate_05c878bc69a21e21,들말경로당,마을회관및경로당,48890430,삼가면,35.3932468,128.1198249,"[""라마56a10b"",""라마56a11a""]"
candidate_06a9745d1cfbf35f,오산경로당,마을회관및경로당,48890410,대양면,35.4995045,128.2306721,"[""라마66a22b""]"
candidate_0751680455acb1e4,손목경로당,마을회관및경로당,48890460,용주면,35.55393914,128.127916,"[""라마56b28b""]"
candidate_0795eedecb594ea9,신기동경로당,경로당,48890310,봉산면,35.59780799,128.0676742,"[""라마51a33b""]"
candidate_07c578df9529dd0c,노와진경로당,마을회관및경로당,48890350,율곡면,35.61586361,128.194821,"[""라마62b35b""]"
candidate_0818409566edab05,하목곡경로당,경로당,48890440,가회면,35.4496523,128.0091217,"[""라마46a17a""]"
candidate_08bc864bc30f459a,교동경로당,마을회관및경로당,48890430,삼가면,35.4077511,128.1190206,"[""라마56a12b""]"
candidate_08c0b62045d76f67,계동경로당,마을회관및경로당,48890320,묘산면,35.6804653,128.1500147,"[""라마58b42b""]"
candidate_08e329bbb44c9823,어은경로당,마을회관및경로당,48890430,삼가면,35.3989466,128.1167838,"[""라마55b11b"",""라마56a11b""]"
candidate_096566a18cbae334,평구할머니경로당,경로당,48890420,쌍백면,35.43960257,128.144555,"[""라마58a16a"",""라마58b16a""]"
candidate_096896e112795f5d,양림할머니경로당,경로당,48890400,적중면,35.5384686,128.2669554,"[""라마69a27a"",""라마69b27a""]"
candidate_09983add7c62784f,중촌경로당,마을회관및경로당,48890410,대양면,35.4922133,128.1943068,[]
candidate_09d743be100f1094,양리고정경로당,경로당,48890450,대병면,35.5051292,128.031726,"[""라마48a23a""]"
candidate_0a51244aaa199525,둔전성지동경로당,마을회관및경로당,48890350,율곡면,35.5859449,128.2120839,[]
candidate_0a68269973c99a2f,봉기경로당,경로당,48890440,가회면,35.43376569,128.0337739,"[""라마48a15a""]"
candidate_0be2bfe4a0c6d219,박곡원촌경로당,경로당,48890370,쌍책면,35.63520625,128.2545461,"[""라마68a37b""]"
candidate_0cca55d326abe3da,유계경로당,마을회관및경로당,48890360,초계면,35.54071385,128.244818,[]
candidate_0f6a41367a59e3f8,우곡(앙진)경로당,마을회관및경로당,48890390,청덕면,35.5192679,128.3640018,"[""라마78a25a""]"
candidate_0ff6a3e96e7c21a9,내촌경로당,마을회관및경로당,48890370,쌍책면,35.5759237,128.281522,"[""라마70b31a""]"
candidate_0ff85e712c480884,창동경로당,마을회관및경로당,48890250,합천읍,35.5632682,128.1579703,"[""라마59b29b""]"
candidate_108c21a6dd87609b,외죽고경로당,경로당,48890400,적중면,35.5660257,128.3005502,"[""라마72a30a"",""라마72b30a""]"
candidate_10be88f0846cce95,나대1구(상나대) 경로당,마을회관및경로당,48890340,야로면,35.7416171,128.173977,"[""라마60b49b""]"
candidate_115594e63a9ef805,야로경로당(분회),경로당,48890340,야로면,35.7052172,128.1698838,"[""라마60b45b""]"
candidate_11984d592f19080a,하도리경로당,마을회관및경로당,48890410,대양면,35.5005114,128.1529642,"[""라마59a22b""]"
candidate_12f9b19c9b777400,동리경로당,마을회관및경로당,48890430,삼가면,35.4182128,128.1468072,"[""라마58b13b""]"
candidate_131684d3673db6ab,죽죽경로당,마을회관및경로당,48890460,용주면,35.5499625,128.0371702,"[""라마48b28a""]"
candidate_1375121368f4950c,장전경로당,마을회관및경로당,48890460,용주면,35.5082491,128.107781,"[""라마55a23b""]"
candidate_1431c936bba58658,공곡경로당,마을회관및경로당,48890320,묘산면,35.6546245,128.1336876,"[""라마57a39b"",""라마57a40a""]"
candidate_146a0163bcfe182b,안정골경로당,마을회관및경로당,48890390,청덕면,35.5179273,128.3252215,"[""라마74b24b"",""라마74b25a""]"
candidate_14ef828ff9d22cdb,가호2구경로당,마을회관및경로당,48890460,용주면,35.5509059,128.065484,"[""라마51a28a"",""라마51a28b""]"
candidate_14ff00701eef3af7,대지1구곰실경로당,경로당,48890450,대병면,35.5379139,127.9741246,[]
