shelter_id,facility_name,road_address,lot_address,region_code,region_name,latitude,longitude,geocoding_status,geocoding_source,geocoding_query,geocoding_query
SHELTER_066,양리고정경로당,경남 합천군 대병면 고정길 8,경남 합천군 대병면 양리 357-10,48890450,대병면,35.505184337847,128.031735282525,OK,kakao,경남 합천군 대병면 고정길 8,경남 합천군 대병면 고정길 8
SHELTER_067,양전경로당,경남 합천군 삼가면 양전2길 39,경남 합천군 삼가면 양전리 205,48890430,삼가면,35.4258117120873,128.137579641662,OK,kakao,경남 합천군 삼가면 양전2길 39,경남 합천군 삼가면 양전2길 39
SHELTER_068,오방동경로당,경남 합천군 청덕면 앙진2길 6-2,경남 합천군 청덕면 앙진리 267-5,48890390,청덕면,35.5130374304547,128.363602816049,OK,kakao,경남 합천군 청덕면 앙진2길 6-2,경남 합천군 청덕면 앙진2길 6-2
SHELTER_069,외삼경로당,경남 합천군 청덕면 외삼학길 166,경남 합천군 청덕면 삼학리 177,48890390,청덕면,35.5871016414803,128.352506783438,OK,kakao,경남 합천군 청덕면 외삼학길 166,경남 합천군 청덕면 외삼학길 166
SHELTER_070,용주경로당,경남 합천군 용주면 용지길 10,경남 합천군 용주면 용지리 248-4,48890460,용주면,35.5388400305391,128.114639013943,OK,kakao,경남 합천군 용주면 용지길 10,경남 합천군 용주면 용지길 10
SHELTER_071,용주우곡야외쉼터,경남 합천군 용주면 우곡계성길 164,경남 합천군 용주면 우곡리 575,48890460,용주면,35.5681490460064,128.073420753994,OK,kakao,경남 합천군 용주면 우곡계성길 164,경남 합천군 용주면 우곡계성길 164
SHELTER_072,원금경로당,경남 합천군 삼가면 금리1길 38,경남 합천군 삼가면 금리 505-7,48890430,삼가면,35.4175205366979,128.116617817773,OK,kakao,경남 합천군 삼가면 금리1길 38,경남 합천군 삼가면 금리1길 38
SHELTER_073,원당마을회관,경남 합천군 초계면 원당길 42,경남 합천군 초계면 원당리 305-4,48890360,초계면,35.537787746426,128.239816380667,OK,kakao,경남 합천군 초계면 원당길 42,경남 합천군 초계면 원당길 42
SHELTER_074,원송경로당,경남 합천군 대병면 성리3길 21,경남 합천군 대병면 성리 774,48890450,대병면,35.5246455898425,128.055244383218,OK,kakao,경남 합천군 대병면 성리3길 21,경남 합천군 대병면 성리3길 21
SHELTER_075,유천경로당,경남 합천군 청덕면 앙진1길 7-3,경남 합천군 청덕면 앙진리 738-5,48890390,청덕면,35.503714756545,128.360734507328,OK,kakao,경남 합천군 청덕면 앙진1길 7-3,경남 합천군 청덕면 앙진1길 7-3
SHELTER_076,율곡면사무소,경남 합천군 율곡면 영전3길 26 (율곡면사무소),경남 합천군 율곡면 영전리 455-1,48890350,율곡면,35.5723543949159,128.218009894948,OK,kakao,경남 합천군 율곡면 영전3길 26 (율곡면사무소),경남 합천군 율곡면 영전3길 26 (율곡면사무소)
SHELTER_077,율원경로당,경남 합천군 덕곡면 율원1길 19-4,경남 합천군 덕곡면 율원리 419-1,48890380,덕곡면,35.6400573916477,128.29112814052,OK,kakao,경남 합천군 덕곡면 율원1길 19-4,경남 합천군 덕곡면 율원1길 19-4
SHELTER_078,율지경로당,경남 합천군 덕곡면 율지2길 26,경남 합천군 덕곡면 율지리 90-2,48890380,덕곡면,35.6143125095954,128.358671065646,OK,kakao,경남 합천군 덕곡면 율지2길 26,경남 합천군 덕곡면 율지2길 26
SHELTER_079,이계경로당,경남 합천군 대양면 이계길 111,경남 합천군 대양면 대목리 942-2,48890410,대양면,35.5175311982279,128.161056615585,OK,kakao,경남 합천군 대양면 이계길 111,경남 합천군 대양면 이계길 111
SHELTER_080,이부경로당,경남 합천군 삼가면 일부1길 17-1,경남 합천군 삼가면 일부리 820,48890430,삼가면,35.4129248691707,128.123791431126,OK,kakao,경남 합천군 삼가면 일부1길 17-1,경남 합천군 삼가면 일부1길 17-1
SHELTER_081,이암경로당,경남 합천군 쌍백면 하안삼리길 308,경남 합천군 쌍백면 죽전리 663-4,48890420,쌍백면,35.4536246491694,128.11801867724,OK,kakao,경남 합천군 쌍백면 하안삼리길 308,경남 합천군 쌍백면 하안삼리길 308
SHELTER_082,장동경로당,경남 합천군 덕곡면 장리5길 20,경남 합천군 덕곡면 장리 342,48890380,덕곡면,35.6248831760679,128.326373263618,OK,kakao,경남 합천군 덕곡면 장리5길 20,경남 합천군 덕곡면 장리5길 20
SHELTER_083,적중면사무소,경남 합천군 적중면 적중로 98,경남 합천군 적중면 상부리 16-1,48890400,적중면,35.5475821847603,128.278569202682,OK,kakao,경남 합천군 적중면 적중로 98,경남 합천군 적중면 적중로 98
SHELTER_084,정대1구경로당,경남 합천군 야로면 가야산로 242-3,경남 합천군 야로면 정대리 520-3,48890340,야로면,35.6965004791618,128.167822717586,OK,kakao,경남 합천군 야로면 가야산로 242-3,경남 합천군 야로면 가야산로 242-3
SHELTER_085,정대3구경로당,경남 합천군 야로면 보탑길 28-1,경남 합천군 야로면 정대리 1168,48890340,야로면,35.6874603080405,128.171869479125,OK,kakao,경남 합천군 야로면 보탑길 28-1,경남 합천군 야로면 보탑길 28-1
SHELTER_086,정토경로당,경남 합천군 적중면 정토양림길 10,경남 합천군 적중면 정토리 218-5,48890400,적중면,35.5299802620358,128.256880185284,OK,kakao,경남 합천군 적중면 정토양림길 10,경남 합천군 적중면 정토양림길 10
SHELTER_087,제곡경로당,경남 합천군 삼가면 외토5길 28-2,경남 합천군 삼가면 외토리 1241,48890430,삼가면,35.3731841443679,128.092490175371,OK,kakao,경남 합천군 삼가면 외토5길 28-2,경남 합천군 삼가면 외토5길 28-2
SHELTER_088,죽고경로당,경남 합천군 적중면 죽고길 161,경남 합천군 적중면 죽고리 47-5,48890400,적중면,35.5635633725243,128.305942097842,OK,kakao,경남 합천군 적중면 죽고길 161,경남 합천군 적중면 죽고길 161
SHELTER_089,중흥동경로당,경남 합천군 합천읍 중흥길 25,경남 합천군 합천읍 합천리 1021,48890250,합천읍,35.5657206080635,128.155993314718,OK,kakao,경남 합천군 합천읍 중흥길 25,경남 합천군 합천읍 중흥길 25
